alpha,leaves,depth,mse,cvar95,lp_mean
1.4393854579016367,1,0,0.6676212683211499,3.9736482122027224,0.6676212683211499
0.525087773264274,2,1,0.13643265076204508,1.6723828424267564,0.22003406686983643
0.12037166783352907,3,2,0.13643103720028382,1.6723828424267564,0.22003406687232355
0.07842451744887097,4,2,0.002750013143139976,0.01652026368554493,0.0027703469858860407
0.06158407215640357,5,3,0.0027500058239910614,0.016519822593320212,0.002777136759515423
0.04816471542759447,6,3,0.0027500058239910614,0.016519822593320212,0.002790270840614407
0.011440845015737881,7,3,0.002749345830572668,0.01652868730346263,0.0027977693631964476
0.009640255305657852,8,4,0.0027915673333856854,0.016792770283967612,0.002859589575210945
0.009171371622692734,9,4,0.0027919556632565257,0.016790305664287502,0.0028600212971338053
0.008279062337884686,10,4,0.0027919556632565257,0.016790305664287502,0.002860551486605559
0.005819068129385849,11,4,0.0028373474863777424,0.017259359953841,0.0029863838344300914
0.004599561046872186,12,4,0.002852643730000143,0.017221902680958925,0.0029985634688290104
0.00417258243286921,13,5,0.0028520818698872987,0.017244921762877403,0.002998054676659498
0.004078106399879797,14,5,0.002848085139199939,0.017283570990531703,0.00299793861949617
0.0014251856057829818,15,5,0.0028453484378728683,0.01725192922075375,0.0029983733425862145
